Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
Rafinha,Petrolul 52,Rafinha,FC Petrolul Ploiești,https://api.sofascore.com/api/v1/player/1084386/image,https://api.sofascore.com/api/v1/team/25856/image,Romanian SuperLiga,Romania,https://api.sofascore.com/api/v1/unique-tournament/152/image,0.6,MEDIA
Rafinha,Floresta EC,Rafinha,No team,https://api.sofascore.com/api/v1/player/12634/image,https://api.sofascore.com/api/v1/team/241802/image,,,,0.4,BAIXA_REVISAR
Raí,Vukovar,Vito Čaić,HNK Vukovar 1991,https://api.sofascore.com/api/v1/player/1402863/image,https://api.sofascore.com/api/v1/team/6672/image,HNL,Croatia,https://api.sofascore.com/api/v1/unique-tournament/170/image,0.51,MEDIA
Raí,São João Ver,Raí Nascimento,SC São João Ver,https://api.sofascore.com/api/v1/player/867599/image,https://api.sofascore.com/api/v1/team/45148/image,Liga 3,Portugal,https://api.sofascore.com/api/v1/unique-tournament/17101/image,0.85,ALTA
Raí,Juventude,Raí,Juventude,https://api.sofascore.com/api/v1/player/1175321/image,https://api.sofascore.com/api/v1/team/1980/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Raí Ramos,Juventude,Raí Ramos,Juventude,https://api.sofascore.com/api/v1/player/879591/image,https://api.sofascore.com/api/v1/team/1980/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Railan,Cuiabá,Railan,Cuiabá,https://api.sofascore.com/api/v1/player/1047213/image,https://api.sofascore.com/api/v1/team/49202/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Ralf,Guarani,Ralf,Guarani,https://api.sofascore.com/api/v1/player/105046/image,https://api.sofascore.com/api/v1/team/1972/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,1.0,ALTA
Ralph,Lamphun Warrior,Ralph,Lamphun Warrior,https://api.sofascore.com/api/v1/player/848042/image,https://api.sofascore.com/api/v1/team/310778/image,Thai League 1,Thailand,https://api.sofascore.com/api/v1/unique-tournament/1032/image,1.0,ALTA
Ramiro,Dallas,Ramiro,FC Dallas,https://api.sofascore.com/api/v1/player/330693/image,https://api.sofascore.com/api/v1/team/2512/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.91,ALTA
Ramon,Internacional,Artur Ramos Arezi,Internacional U17,https://api.sofascore.com/api/v1/player/2201121/image,https://api.sofascore.com/api/v1/team/504364/image,U17 Campeonato Brasileiro,Brazil,https://api.sofascore.com/api/v1/unique-tournament/22794/image,0.51,MEDIA
Ramon Menezes,Sport Recife,Ramon Menezes,Sport Recife,https://api.sofascore.com/api/v1/player/839516/image,https://api.sofascore.com/api/v1/team/1959/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Rangel,Capital Brasilia,Rangel,Capital CF,https://api.sofascore.com/api/v1/player/842088/image,https://api.sofascore.com/api/v1/team/308213/image,Brasiliense,Brazil,https://api.sofascore.com/api/v1/unique-tournament/11682/image,0.7,ALTA
Raniel,BG Pathum United,Raniel,BG Pathum United,https://api.sofascore.com/api/v1/player/988791/image,https://api.sofascore.com/api/v1/team/35607/image,Thai League 1,Thailand,https://api.sofascore.com/api/v1/unique-tournament/1032/image,1.0,ALTA
Raniele,Corinthians,Raniele,Corinthians,https://api.sofascore.com/api/v1/player/866392/image,https://api.sofascore.com/api/v1/team/1957/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Raphael Guzzo,Marítimo,Raphael Guzzo,Marítimo,https://api.sofascore.com/api/v1/player/190151/image,https://api.sofascore.com/api/v1/team/3007/image,Liga Portugal 2,Portugal,https://api.sofascore.com/api/v1/unique-tournament/239/image,1.0,ALTA
Raphael Rossi,Mafra,Raphael Rossi,CD Mafra,https://api.sofascore.com/api/v1/player/347186/image,https://api.sofascore.com/api/v1/team/38744/image,Liga 3,Portugal,https://api.sofascore.com/api/v1/unique-tournament/17101/image,0.91,ALTA
Raphael Veiga,Palmeiras,Raphael Veiga,Club América,https://api.sofascore.com/api/v1/player/840020/image,https://api.sofascore.com/api/v1/team/1939/image,"Liga MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11620/image,0.4,BAIXA_REVISAR
Raul,Athletico Paranaense,Raúl Asencio,Real Madrid,https://api.sofascore.com/api/v1/player/1156645/image,https://api.sofascore.com/api/v1/team/2829/image,LaLiga,Spain,https://api.sofascore.com/api/v1/unique-tournament/8/image,0.34,BAIXA_REVISAR
Raúl Cáceres,Olimpia,Raúl Cáceres,Olimpia,https://api.sofascore.com/api/v1/player/122971/image,https://api.sofascore.com/api/v1/team/5997/image,"Primera División, Apertura",Paraguay,https://api.sofascore.com/api/v1/unique-tournament/11540/image,1.0,ALTA
